observation_date	DHLCRG	Index_2021_1
1947-01-01	3.606	0.0311481
1947-04-01	3.683	0.031813215
1947-07-01	3.883	0.033540786
1947-10-01	3.967	0.034266365
1948-01-01	3.942	0.034050419
1948-04-01	3.983	0.034404571
1948-07-01	4.041	0.034905567
1948-10-01	4.026	0.034775999
1949-01-01	4.029	0.034801912
1949-04-01	4.049	0.034974669
1949-07-01	4.062	0.035086962
1949-10-01	4.076	0.035207892
1950-01-01	4.088	0.035311546
1950-04-01	4.093	0.035354735
1950-07-01	4.151	0.035855731
1950-10-01	4.228	0.036520845
1951-01-01	4.296	0.037108219
1951-04-01	4.323	0.037341441
1951-07-01	4.318	0.037298252
1951-10-01	4.380	0.037833799
1952-01-01	4.456	0.038490276
1952-04-01	4.514	0.038991271
1952-07-01	4.586	0.039613197
1952-10-01	4.614	0.039855057
1953-01-01	4.712	0.040701566
1953-04-01	4.723	0.040796583
1953-07-01	4.780	0.041288941
1953-10-01	4.820	0.041634455
1954-01-01	4.890	0.042239104
1954-04-01	4.909	0.042403224
1954-07-01	4.932	0.042601894
1954-10-01	4.961	0.042852392
1955-01-01	5.048	0.043603885
1955-04-01	5.073	0.043819832
1955-07-01	5.098	0.044035778
1955-10-01	5.167	0.04463179
1956-01-01	5.238	0.045245078
1956-04-01	5.248	0.045331456
1956-07-01	5.283	0.045633781
1956-10-01	5.342	0.046143414
1957-01-01	5.417	0.046791253
1957-04-01	5.451	0.04708494
1957-07-01	5.527	0.047741417
1957-10-01	5.594	0.048320153
1958-01-01	5.654	0.048838425
1958-04-01	5.662	0.048907527
1958-07-01	5.734	0.049529453
1958-10-01	5.792	0.050030448
1959-01-01	5.768	0.04982314
1959-04-01	5.828	0.050341411
1959-07-01	5.891	0.050885596
1959-10-01	6.008	0.051896225
1960-01-01	6.064	0.052379945
1960-04-01	6.230	0.053813828
1960-07-01	6.356	0.054902198
1960-10-01	6.425	0.05549821
1961-01-01	6.412	0.055385918
1961-04-01	6.392	0.055213161
1961-07-01	6.404	0.055316815
1961-10-01	6.432	0.055558675
1962-01-01	6.485	0.056016481
1962-04-01	6.549	0.056569304
1962-07-01	6.600	0.057009834
1962-10-01	6.656	0.057493554
1963-01-01	6.689	0.057778603
1963-04-01	6.725	0.058089566
